cod_alarma,alarma
CertificateStatusAlarm,Alarma de estado de Certificado
HAcannotFindMaster,Alarma de HA
HAfailoverFailed,Alarma de HA
HAfailoverInProgress,Alarma de HA
alarmaDeTest,ALARMA DE PRUEBA
BatteryHealthAlarm,Alarma de sensor de Hardware
TemperatureHealthAlarm,Alarma de sensor de Hardware
VoltageHealthAlarm,Alarma de sensor de Hardware
FanHealthAlarm,Alarma de sensor de Hardware
VMware Aria Operations,Alarma de vRO
vRealize Operations Manager,Alarma de vROps
vsan.health.test.network.clusterpartition,Alarma de vSAN
vsan.health.test.network.hostdisconnected,Alarma de vSAN
vsan.health.test.cluster.clustermembership,Alarma de vSAN
vsan.health.test.perfsvc.masterexist,Alarma de vSAN
vsan.health.test.data.objecthealth,Alarma de vSAN
vsan.health.test.perfsvc.statsdb,Alarma de vSAN
vsan.health.test.cluster.clomdliveness,Alarma de vSAN
VmDiskLatencyAlarm,Alarma por latencia de disco
VmCPUUsageAlarm,Alarma por uso de CPU
Log Disk Exhaustion on vcenter-dr-05,Alarma por Uso de Disco
MigrationErrorAlarm,Alarta de error de migración
Alert A####,Alerta de Nutanix
NTNX-Dorinka,Alerta de Nutanix
Datastore inaccesible,Datastore inaccesible
Datastore inaccesible',Datastore inaccesible
Datastore inaccesibles',Datastore inaccesible
Datastores inaccesbiles,Datastore inaccesible
Datastores inaccesibles',Datastore inaccesible
Conexión de host y estado de energía....,Desconexión de Host
desconexion_host,Desconexión de Host
HostConnectionStateAlarm,Desconexión de Host
HostConnectivityAlarm,Desconexión de Host
TANZU - Host connection and power state,Desconexión de Host
TANZU - Host connection failure,Desconexión de Host
backup_fail,Falla de Backup
Cannot connect to storage,Pérdida de conexión a storage
StorageConnectivityAlarm,Pérdida de conexión a storage
StorageConnectivityAlarm - Lost connection,Pérdida de conexión a storage
Lost connection,Pérdida de conexión a storage
NetworkConnectivityLostAlarm,Perdida de conexión de red
Network connectivity lost,Perdida de conexión de red
Network uplink redundancy lost,Perdida de redundancia de red
NetworkRedundancyDegradedAlarm,Perdida de redundancia de red
NetworkRedundancyLostAlarm,Perdida de redundancia de red
StorageConnectivityAlarm - Path redundancy,Perdida de redundancia de storage
Path redundancy,Perdida de redundancia de storage
vsan.health.test.network.hostlatencycheck,Alarma de latencia de vSAN
vsan.health.test.network.smallping,Alarma de vSAN
vsan.health.test.network.largeping,Alarma de vSAN
vsan.health.test.stretchedcluster.clusterwithoutonewitnesshost,Alarma de vSAN
Host is not responding,Desconexión de Host
Lost connection to server,Pérdida de conexión a storage
vSphere HA initiated a failover action,Alarma de HA
Lost path redundancy to storage device,Perdida de redundancia de storage
Lost uplink redundancy,Perdida de redundancia de uplinks
vsan.health.test.stretchedcluster.siteconnectivity,Alarma de vSAN
Path redundancy to storage device,Perdida de redundancia de storage
PowerHealthAlarm,Alarma de sensor de Hardware
vSAN Health Test 'Site latency health' status changed from 'green' to 'yellow',Alarma de vSAN
Lost network connectivity,Perdida de conexión de red
